,File_name,MissingFrames_per_min,Blink_per_min,blink_duration_per_min,Perclose_per_min,Avg_EAR,Multiplication of 4 features,F*G,Windowsize 4,,average,,Duration normalize,
133,VIDEO_18112022162742_1668769062449_EAR.csv,0,42,3.97619,0.09278,0.40353,6.2522,0.0374,0.0352,1.0000,0.0258,1.0000,0.142006802721088,0.005316501912467
134,VIDEO_18112022162841_1668769121443_EAR.csv,0,45,3.71111,0.09278,0.39658,6.1445,0.0368,0.0369,0.0000,0.0259,1.0000,0.132539682539683,0.004876579256062
135,VIDEO_18112022162940_1668769180439_EAR.csv,214,29,3.41379,0.05500,0.38710,2.1078,0.0213,0.0336,0.0000,0.0259,0.0000,0.12192118226601,0.002595755181034
136,VIDEO_18112022163039_1668769239450_EAR.csv,1718,0,0.00000,0.00000,0.02256,0.0000,0.0000,0.0239,0.0000,0.0257,0.0000,0,0
137,VIDEO_18112022163138_1668769298440_EAR.csv,56,30,4.80000,0.08000,0.44885,5.1708,0.0359,0.0235,1.0000,0.0257,1.0000,0.171428571428571,0.006155682690924
138,VIDEO_18112022163237_1668769357450_EAR.csv,2,24,3.70833,0.04944,0.41343,1.8193,0.0204,0.0194,1.0000,0.0257,0.0000,0.132440476190476,0.002707317766258
139,VIDEO_18112022163336_1668769416439_EAR.csv,0,24,7.70833,0.10278,0.43622,8.2943,0.0448,0.0253,1.0000,0.0258,1.0000,0.275297619047619,0.012342692696047
140,VIDEO_18112022163435_1668769475440_EAR.csv,0,22,3.22727,0.03944,0.46089,1.2907,0.0182,0.0298,0.0000,0.0258,0.0000,0.11525974025974,0.002095366964846
141,VIDEO_18112022163534_1668769534444_EAR.csv,69,33,3.96970,0.07278,0.40683,3.8787,0.0296,0.0283,1.0000,0.0258,1.0000,0.141774891774892,0.004197721394858
142,VIDEO_18112022163633_1668769593578_EAR.csv,0,33,4.33333,0.07944,0.42644,4.8446,0.0339,0.0316,1.0000,0.0259,1.0000,0.154761904761905,0.005243071859181
143,VIDEO_18112022163732_1668769652435_EAR.csv,0,32,3.18750,0.05667,0.41685,2.4094,0.0236,0.0263,0.0000,0.0259,0.0000,0.113839285714286,0.002689073799983
144,VIDEO_18112022163832_1668769712257_EAR.csv,0,32,3.43750,0.06111,0.42844,2.8801,0.0262,0.0283,0.0000,0.0259,1.0000,0.122767857142857,0.003214363239392
145,VIDEO_18112022163931_1668769771222_EAR.csv,25,21,4.00000,0.04667,0.44341,1.7382,0.0207,0.0261,0.0000,0.0258,0.0000,0.142857142857143,0.002956061570215
146,VIDEO_18112022164030_1668769830381_EAR.csv,0,26,2.92308,0.04222,0.42484,1.3633,0.0179,0.0221,0.0000,0.0258,0.0000,0.104395604395604,0.001872628870956
